Product_Name,Stars,Ratings,Reviews,current_price,MRP,channel,Operating_system,Picture_qualtiy,Speaker,Frequency,Image_url
Hyundai,4.9,0,0,₹13499,₹23990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/television/x/w/x/smthy32hdb52vrtyw-hyundai-original-imagczwzpe6wdh8k.jpeg?q=70
Dyanora,4,0,0,₹17999,₹32999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1080 x 1920 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2xmqvk0/television/s/t/8/dy-ld43f3s-dyanora-original-image65vxqgyndkh.jpeg?q=70
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70
realme,4.3,2104,291,₹48999,₹69999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kg2l47k0/television/p/k/4/realme-rmv2001-sled-tv-55-original-imafwe38mxfgcf8g.jpeg?q=70
MOTOROLA,4.4,9686,1532,₹14999,₹20000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/television/q/q/9/32hdadmvvee-motorola-original-imagdv4w48hkvcnq.jpeg?q=70
Nokia,0,0,0,₹42999,₹70000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2p23rk0/television/3/q/k/-original-imagdzfjgkfbbs3g.jpeg?q=70
Adsun,3.8,6730,929,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/krntoy80/television/u/d/y/a-3200s-adsun-original-imag5edguuyn54fh.jpeg?q=70
iFFALCON,4.2,0,0,₹37999,₹73990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kve530w0/television/9/1/s/-original-imag8axmyuymr7gv.jpeg?q=70
MOTOROLA,0,0,0,₹49999,₹59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840×2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/k/i/u/50uhdaqmdt5q-motorola-original-imag78tyhv4ha3zj.jpeg?q=70
MOTOROLA,4.4,9686,1532,₹19999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,40 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kfzq8i80/television/m/d/d/motorola-32sahdme-original-imafwc5yzz7cyv3r.jpeg?q=70
Croma,4.3,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/2/i/r/crel032hof024601-croma-original-imagd69t6mysezaw.jpeg?q=70
MOTOROLA,4.5,0,0,₹25499,₹33000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/television/d/i/m/43fhdadmvvee-motorola-original-imagdv4wrgtupkhw.jpeg?q=70
MOTOROLA,4.4,0,0,₹41999,₹72000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/television/6/a/z/55uhdadmvvge-motorola-original-imagdv4yffj9sveb.jpeg?q=70
MOTOROLA,4.3,20879,3410,₹45999,₹61999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kingqkw0/television/w/b/y/motorola-43sauhdmq-original-imafydykpnw3hzgv.jpeg?q=70
Adsun,3.8,6730,929,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kzn17680/television/o/q/p/a-3210s-f-adsun-original-imagbhqzhafpzhyz.jpeg?q=70
Mi,4.4,663035,67204,₹24999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/d/a/j/l43m5-an-mi-original-imag4967gctacntj.jpeg?q=70
LG,4.4,5829,698,₹44990,₹64990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/9/u/x/50up7500ptz-50up7500ptz-lg-original-imag4q3z3jjxt7ek.jpeg?q=70
Hisense,4.3,0,0,₹54990,₹79990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/television/m/x/q/-original-imagehzaaqdkzw3u.jpeg?q=70
Croma,3.9,0,0,₹18990,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/0/d/b/crel040fof024601-croma-original-imagd69uunejcz4d.jpeg?q=70
SONY,0,0,0,₹53999,₹66900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kqqykcw0/television/z/s/m/kd-50x75-sony-original-imag4p2w6742eqjc.jpeg?q=70
Thomson,4.3,6421,1797,₹23999,₹29999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kiyw9e80-0/television/f/g/i/43path4545-thomson-original-imafynyvqnxfnzfd.jpeg?q=70
Vu,4.3,34843,4762,₹23999,₹40000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kykgb680/television/o/u/l/-original-imagas4zaf5guqjd.jpeg?q=70
SAMSUNG,4.4,7341,883,₹35999,₹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l47cu4w0/television/9/0/f/-original-imagf5qummst7t94.jpeg?q=70
Nokia,4.3,11336,1966,₹42999,₹70000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2p23rk0/television/3/q/k/-original-imagdzfjgkfbbs3g.jpeg?q=70
Blaupunkt,4.4,6977,1601,₹13499,₹19499,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,40 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l12h1u80/television/r/d/6/-original-imagcppf9wkqyug5.jpeg?q=70
ONIDA,4.4,591,102,₹13999,₹23490,Netflix|Prime Video|Youtube,Operating System: VIDAA,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1qrjbk0/television/p/8/w/32iv-onida-original-imagd8pe9r52edvc.jpeg?q=70
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70
KODAK,4.3,3192,770,₹32999,₹39990,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kjiwfbk0-0/television/5/z/a/55uhdx7xpro-kodak-original-imafz2zf4zqgsna9.jpeg?q=70
CORNEA,0,0,0,₹10999,₹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l4x2rgw0/television/m/u/j/-original-imagfpghgc3gr3mq.jpeg?q=70
Xiaomi,4.7,0,0,₹89999,₹199999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/television/y/j/f/-original-imageg44rmug6gqt.jpeg?q=70
Adsun,3.8,6742,930,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/krntoy80/television/u/d/y/a-3200s-adsun-original-imag5edguuyn54fh.jpeg?q=70
LG,4.4,0,0,₹39990,₹59990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/z/a/z/43nano73tpz-43nano73tpz-lg-original-imag4q3xcjfyhacx.jpeg?q=70
Vu,4.3,0,0,₹35999,₹60000,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/k5vcya80/television/z/k/e/vu-50ca-original-imafzgkftuszcbza.jpeg?q=70
acer,4.4,1722,265,₹13999,₹19990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kwqq1zk0/television/f/g/x/-original-imag9cjzwcc9hsjm.jpeg?q=70
Croma,4.2,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/2/i/r/crel032hof024601-croma-original-imagd69t6mysezaw.jpeg?q=70
TCL,4.4,0,0,₹34990,₹62990,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840x2160 Pixels,24W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,https://rukminim1.flixcart.com/image/312/312/l2krs7k0/television/q/7/g/-original-imagdvsyfgjfvvgq.jpeg?q=70
LG,4.5,799,121,₹55990,₹89990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/d/b/f/55up7720pty-55up7720pty-lg-original-imag4q3ysrnhq3z4.jpeg?q=70
TCL,4.9,0,0,₹36990,₹50990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 × 2160 Pixels,24 rms Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2krs7k0/television/p/9/b/-original-imagdvsyzur3gvbw.jpeg?q=70
Adsun,3.8,6742,930,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kzn17680/television/o/q/p/a-3210s-f-adsun-original-imagbhqzhafpzhyz.jpeg?q=70
Coocaa,4.2,14827,2328,₹39999,0,Prime Video|Disney+Hotstar|Youtube,Operating System: Coolita,Full HD 1920 x 1080 Pixels,30 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l4x2rgw0/television/e/i/k/-original-imagfpejzvnepwvn.jpeg?q=70
Nokia,4.3,23271,3975,₹22999,₹29000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3xcr680/television/f/f/p/-original-imagexnssdcgzyzj.jpeg?q=70
TCL,4.7,0,0,₹25390,₹47990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 rms Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2krs7k0/television/c/x/i/-original-imagdvsyhphjahyx.jpeg?q=70
Croma,3.9,0,0,₹18990,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/0/d/b/crel040fof024601-croma-original-imagd69uunejcz4d.jpeg?q=70
Sansui,0,0,0,₹13479,₹19990,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 year comprehensive warranty,https://rukminim1.flixcart.com/image/312/312/l1grgcw0/television/p/q/6/jsy32skhd-sansui-original-imagdf2hfceparab.jpeg?q=70
Blaupunkt,4.6,3380,928,₹55999,₹75999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l12h1u80/television/z/c/1/-original-imagcppgc2ycvxdb.jpeg?q=70
ONIDA,4.4,591,102,₹35999,₹68990,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l12h1u80/television/a/f/f/55uiv-onida-original-imagcpwwsushcvb3.jpeg?q=70
Adsun,3.8,6742,930,₹6199,₹12999,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade,https://rukminim1.flixcart.com/image/312/312/krntoy80/television/h/i/m/a-2400n-adsun-original-imag5ecpqjfzews3.jpeg?q=70
Hisense,4.2,0,0,₹62990,₹89990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,102 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l26hdow0/television/e/v/x/-original-imagdkzjp6xtvyqz.jpeg?q=70
Blaupunkt,4.6,3381,929,₹55999,₹75999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l12h1u80/television/z/c/1/-original-imagcppgc2ycvxdb.jpeg?q=70
ONIDA,4.4,591,102,₹35999,₹68990,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l12h1u80/television/a/f/f/55uiv-onida-original-imagcpwwsushcvb3.jpeg?q=70
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70
Compaq,4.4,0,0,₹20999,₹34999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kxf0jgw0/television/c/e/u/cq40apfd-compaq-original-imag9ve8ehxg9g2q.jpeg?q=70
Hisense,5,0,0,₹22990,₹34990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l26hdow0/television/o/d/2/43a4g-hisense-original-imagdh27sey8kfpx.jpeg?q=70
Nokia,4.3,11327,1965,₹36999,₹50000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2p23rk0/television/9/i/s/-original-imagdzfjvbfrbprp.jpeg?q=70
Adsun,3.8,6730,929,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/krntoy80/television/u/d/y/a-3200s-adsun-original-imag5edguuyn54fh.jpeg?q=70
SAMSUNG,4.2,1033,143,₹69990,₹119900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2rwzgw0/television/i/q/r/-original-imagefjnnfcuvuhn.jpeg?q=70
SONY,0,0,0,₹70990,₹99900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l3929ow0/television/h/d/m/kd-65x75k-in5-sony-original-imagef3zkuszrfgh.jpeg?q=70
SAMSUNG,4.2,1033,143,₹82990,₹144900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l2rwzgw0/television/m/y/s/-original-imagefjnx9bk5mxt.jpeg?q=70
Croma,4.3,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/television/2/i/r/crel032hof024601-croma-original-imagd69t6mysezaw.jpeg?q=70
PHILIPS,4.2,0,0,₹27890,₹44490,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,16 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/ksw4ccw0/television/5/x/c/43pft6915-94-philips-original-imag6cz5auguazys.jpeg?q=70
Compaq,4.4,0,0,₹14499,₹21999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,https://rukminim1.flixcart.com/image/312/312/kxf0jgw0/television/7/y/l/cq32aphdbz-compaq-original-imag9ve8paqggjaz.jpeg?q=70
InnoQ,4.1,0,0,₹7890,₹22990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade Premium Dot Free Panel,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/television/i/l/y/-original-imagdun98yufhh7c.jpeg?q=70
